race,number
Anti-Black or African American             ,1793
Anti-White                                    ,738
Anti-Gay (Male)           ,698
Anti-Jewish                             ,698
Anti-Lesbian                                 ,378
Anti-Hispanic or Latino        ,352
Anti-Islamic (Muslim)               ,312
Anti-Other Race/Ethnicity/Ancestry         ,227
Anti-American Indian or Alaska Native          ,158
"Anti-Multiple Races, Group    ",142
Anti-Asian                                ,115
Anti-Transgender          ,106
Anti-Other Religion              ,80
Anti-Catholic        ,62
Anti-Mental Disability     ,59
Anti-Arab     ,58
etc,300
